"2008-2011","lower","Woods. Total- -7","MSL000161"
"2008-2011","upper","Lee E. (47th)","MSL000034"
"2008-2011","lower","Upshaw. Total- -7","MSL000126"
"2008-2011","lower","Staples. Total- -4","MSL000091"
"2008-2011","lower","Robinson. Total- -4","MSL000170"
"2008-2011","upper","Jackson S. (32nd)","MSL000015"
"2008-2011","lower","Morgan_*","MSL000090"
"2008-2011","upper","Hyde- Smith","MSL000003"
"2008-2011","lower","Zuber. Total- -5","MSL000171"
"2008-2011","lower","Campbell (72nd)","MSL000157"
"2008-2011","upper","Senator Bryan","MSL000021"
"2008-2011","lower","Palazzo. Total- -7","MSL000120"
"2008-2011","upper","Senator Yancey","MSL000051"
"2008-2011","upper","Walls. Total- -4","MSL000035"
"2008-2011","upper","Senator Hopson","MSL000041"
"2008-2011","lower","Campbell_(84th)","MSL000157"
"2008-2011","lower","Shows. Total- -5","MSL000071"
"2008-2011","upper","Davis_(36th)","MSL000048"
"2008-2011","upper","Davis_(1st)","MSL000048"
"2008-2011","upper","Yancey. Total- -21","MSL000051"
"2008-2011","lower","Campbell_(72nd)","MSL000157"
"2008-2011","lower","Woods. Total- -4","MSL000161"
"2008-2011","upper","Lee P. (35th)","MSL000038"
"2008-2011","upper","Davis (36th)","MSL000048"
"2008-2011","lower","Wooten. Total- -5","MSL000166"
"2008-2011","upper","Jackson R. (11th). Total- -2","MSL000011"
"2008-2011","lower","Reed. Total- -5","MSL000160"
"2008-2011","upper","Davis D. (1st)","MSL000048"
"2008-2011","lower","Wooten. Total- -14","MSL000166"
"2008-2011","lower","Campbell (84th)","MSL000157"
"2008-2011","lower","Moak. Total- -6","MSL000075"
"2008-2011","lower","Snowden. Total- -5","MSL000086"
"2008-2011","upper","Davis (1st)","MSL000048"
"2008-2011","upper","Jackson R. (11th)","MSL000011"
"2008-2011","upper","Nunnelee. Total- -7","MSL000012"
"2008-2011","lower","Shows. Total- -4","MSL000071"
"2008-2011","upper","Yancey. Total- -28","MSL000051"
"2008-2011","upper","Yancey. Total- -45","MSL000051"
"2008-2011","lower","Woods. Total- -25","MSL000161"
"2008-2011","lower","Staples. Total- -5","MSL000091"
"2008-2011","lower","Zuber. Total- -48","MSL000171"
,"upper","Nancy Adams Collins","MSL000175"
"2008-2011","upper","Jackson G. (15th)","MSL000007"
"2008-2011","upper","Butler A. (36th)","MSL000029"
"2008-2011","lower","Zuber. Total- -24","MSL000171"
"2008-2011","lower","Weathersby. Total- -4","MSL000151"
"2008-2011","upper","Yancey. Total- -24","MSL000051"
"2008-2011","upper","Butler K. (38th)","MSL000174"
"2008-2011","upper","Wilemon. Total- -35","MSL000047"
