"2009-2010","lower","Joe Hardy","NVL000083"
"2009-2010","lower","Mark Amodei","NVL000001"
"2009-2010","upper","Warren Hardy","NVL000008"
"2009-2010","upper","Don Gustavson","NVL000081"
"2009-2010","lower","Bernice Mathews","NVL000011"
"2009-2010","upper","Pete Goicoechea","NVL000079"
"2009-2010","upper","Jerry Claborn","NVL000072"
"2009-2010","upper","Tom Grady","NVL000080"
"2009-2010","upper","Marilyn Dondero Loop","NVL000076"
"2009-2010","lower","David Parks","NVL000014"
"2009-2010","lower","Loop","NVL000076"
"2009-2010","lower","Maurice Washington","NVL000019"
"2009-2010","lower","Dean Rhoads","NVL000016"
"2009-2010","upper","John Hambrick","NVL000082"
"2009-2010","upper","James Ohrenschall","NVL000097"
"2009-2010","upper","Harry Mortenson","NVL000094"
"2009-2010","upper","Joe Hardy","NVL000083"
"2009-2010","lower","Valerie Wiener","NVL000020"
"2009-2010","lower","Warren Hardy","NVL000008"
"2009-2010","lower","Mike McGinness","NVL000012"
"2009-2010","lower","Steven Horsford","NVL000009"
"2009-2010","upper","Tick Segerblom","NVL000100"
"2009-2010","lower","Shirley Breeden","NVL000002"
"2009-2010","lower","Randolph Townsend","NVL000018"
"2009-2010","upper","Melissa Woodbury","NVL000105"
"2009-2010","lower","Marilyn Dondero Loop","NVL000076"
"2009-2010","upper","John Oceguera","NVL000096"
"2009-2010","upper","Bernie Anderson","NVL000065"
"2009-2010","upper","Paul Aizley","NVL000064"
"2009-2010","lower","Bob Coffin","NVL000006"
"2009-2010","lower","Arberry","NVL000066"
"2009-2010","upper","Loop","NVL000076"
"2009-2010","upper","April Mastroluca","NVL000091"
"2009-2010","upper","Barbara Buckley","NVL000069"
"2009-2010","lower","John Lee","NVL000010"
"2009-2010","upper","Ruben Kihuen","NVL000086"
"2009-2010","upper","Morse Arberry","NVL000066"
"2009-2010","upper","Chad Christensen","NVL000071"
"2009-2010","upper","John Carpenter","NVL000070"
"2009-2010","upper","Ellen Spiegel","NVL000103"
"2009-2010","upper","Bonnie Parnell","NVL000098"
"2009-2010","upper","Sheila Leslie","NVL000089"
"2009-2010","lower","DonderoLoop","NVL000076"
"2009-2010","lower","Terry Care","NVL000003"
"2009-2010","lower","Michael Schneider","NVL000017"
"2009-2010","lower","Edwin Goedhart","NVL000078"
"2009-2010","upper","Dondero","NVL000076"
"2009-2010","upper","Kelvin Atkinson","NVL000067"
"2009-2010","upper","Ellen Koivisto","NVL000088"
"2009-2010","upper","David Bobzien","NVL000068"
"2009-2010","upper","Richard McArthur","NVL000092"
"2009-2010","lower","Barbara Cegavske","NVL000005"
"2009-2010","lower","Joyce Woodhouse","NVL000021"
"2009-2010","upper","Peggy Pierce","NVL000099"
"2009-2010","upper","Mo Denis","NVL000075"
"2009-2010","lower","Allison Copening","NVL000007"
"2009-2010","upper","Marilyn Kirkpatrick","NVL000087"
"2009-2010","lower","Morse Arberry","NVL000066"
"2009-2010","lower","William Raggio","NVL000015"
"2009-2010","upper","Tyrus Cobb","NVL000073"
"2009-2010","upper","DonderoLoop","NVL000076"
"2009-2010","upper","Heidi Gansert","NVL000077"
"2009-2010","lower","Dennis Nolan","NVL000013"
"2009-2010","upper","William Horne","NVL000085"
"2009-2010","upper","Harvey Munford","NVL000095"
"2009-2010","upper","Marcus Conklin","NVL000074"
"2009-2010","upper","Kathy McClain","NVL000093"
"2009-2010","upper","Joseph Hogan","NVL000084"
"2009-2010","upper","Edwin Goedhart","NVL000078"
"2009-2010","lower","Dondero","NVL000076"
"2009-2010","upper","James Settelmeyer","NVL000101"
"2009-2010","upper","Debbie Smith","NVL000102"
"2009-2010","upper","Mark Manendo","NVL000090"
"2009-2010","lower","Maggie Carlton","NVL000004"
"2009-2010","lower","Tyrus Cobb","NVL000073"
"2009-2010","upper","Lynn Stewart","NVL000104"
